name,string
#ct_interstitial_intro,ct_interstitial_intro
#ct_skirmishhkillconfirmed_loadingmovie,ct_skirmishhkillconfirmed_loadingmovie
#ct_skirmishhsearchndestroy_loadingmovie,ct_skirmishhsearchndestroy_loadingmovie
#ct_skirmishcontrol_loadingmovie,ct_skirmishcontrol_loadingmovie
#ct_interstitial_savannah1,ct_interstitial_savannah1
#ct_interstitial_savannah4,ct_interstitial_savannah4
#ct_skirmishoutro_battery,ct_skirmishoutro_battery
#ct_tutocrash_loadingmovie,ct_tutocrash_loadingmovie
#ct_interstitial_savannah5,ct_interstitial_savannah5
#ct_interstitial_outro,ct_interstitial_outro
#ct_skirmishoutro_ajax,ct_skirmishoutro_ajax
#ct_skirmishoutro_nomad,ct_skirmishoutro_nomad
#ct_tutoruin_loadingmovie,ct_tutoruin_loadingmovie
#ct_skirmishhardpoint_loadingmovie,ct_skirmishhardpoint_loadingmovie
#ct_skirmishdomination_loadingmovie,ct_skirmishdomination_loadingmovie
#ct_skirmishfreeforall_loadingmovie,ct_skirmishfreeforall_loadingmovie
#zm_tut_hint_text,zm_tut_hint_text
#self_revive_visuals,self_revive_visuals
#zm_build_progress,zm_build_progress
#self_revive_visuals_rush,self_revive_visuals_rush
#zm_trial_weapon_locked,zm_trial_weapon_locked
#zm_game_timer,zm_game_timer
#game_over,game_over
#zm_game_over,zm_game_over
#zm_towers_pap_hud,zm_towers_pap_hud
#zm_laststand_client,zm_laststand_client
#zm_red_challenges_hud,zm_red_challenges_hud
#zm_zod_wonderweapon_quest,zm_zod_wonderweapon_quest
#self_revive_visuals_rush,self_revive_visuals_rush
#zm_arcade_keys,zm_arcade_keys
#zm_arcade_timer,zm_arcade_timer
#zm_hint_text,zm_hint_text
#zm_trial_timer,zm_trial_timer
#zm_towers_crowd_meter,zm_towers_crowd_meter
#zm_game_over,zm_game_over
#self_revive_visuals,self_revive_visuals
